Day,Type,Course Number,Section,Start Time,End Time,Room,Faculty,Class Size
W/F,Lecture,CMSC 2,E,1:00,2:00,ICS MH,111,97
T,Lab,CMSC 2,E-1L,10:00,1:00,PC LAB 2,111,14
T,Lab,CMSC 2,E-2L,4:00,7:00,PC LAB 2,111,22
W,Lab,CMSC 2,E-3L,10:00,1:00,PC LAB 2,111,22
TH,Lab,CMSC 2,E-4L,10:00,1:00,PC LAB 2,111,16
TH,Lab,CMSC 2,E-5L,4:00,7:00,PC LAB 2,111,23
T/TH,Lecture,CMSC 11,T,9:00,10:00,ICS MH,111,92
T,Lab,CMSC 11,T-1L,10:00,1:00,PC LAB 3,111,16
T,Lab,CMSC 11,T-2L,4:00,7:00,PC LAB 3,111,20
W,Lab,CMSC 11,T-3L,1:00,4:00,PC LAB 3,111,19
W,Lab,CMSC 11,T-4L,4:00,7:00,PC LAB 3,111,22
TH,Lab,CMSC 11,T-5L,10:00,1:00,PC LAB 3,111,0
TH,Lab,CMSC 11,T-6L,10:00,1:00,PC LAB 4,111,15
T/TH,Lecture,CMSC 11,U,10:00,10:00,ICS MH,111,107
T,Lab,CMSC 11,U-1L,1:00,1:00,PC LAB 3,111,20
W,Lab,CMSC 11,U-2L,10:00,7:00,PC LAB 3,111,20
W,Lab,CMSC 11,U-3L,10:00,4:00,PC LAB 6,111,17
TH,Lab,CMSC 11,U-4L,1:00,7:00,PC LAB 3,111,15
TH,Lab,CMSC 11,U-5L,4:00,1:00,PC LAB 3,111,12
F,Lab,CMSC 11,U-6L,10:00,1:00,PC LAB 4,111,23
T/TH,Lecture,CMSC 21,ST,8:00,9:00,ICS MH,111,111
T,Lab,CMSC 21,ST-1L,1:00,4:00,PC LAB 4,111,22
W,Lab,CMSC 21,ST-2L,1:00,4:00,PC LAB 2,111,21
W,Lab,CMSC 21,ST-3L,4:00,7:00,PC LAB 4,111,23
F,Lab,CMSC 21,ST-4L,1:00,4:00,PC LAB 4,111,22
F,Lab,CMSC 21,ST-5L,4:00,7:00,PC LAB 3,111,23
T/TH,Lecture,CMSC 21,UV,11:00,12:00,ICS MH,111,102
T,Lab,CMSC 21,UV-1L,4:00,7:00,PC LAB 7,111,22
W,Lab,CMSC 21,UV-2L,4:00,7:00,PC LAB 7,111,22
TH,Lab,CMSC 21,UV-3L,1:00,4:00,PC LAB 2,111,20
TH,Lab,CMSC 21,UV-4L,4:00,7:00,PC LAB 7,111,22
F,Lab,CMSC 21,UV-5L,4:00,7:00,PC LAB 7,111,16
W/F,Lecture,CMSC 141,D,12:00,1:00,ICS MH,111,141
M,Lab,CMSC 141,D-1L,1:00,4:00,PC LAB 8,111,23
T,Lab,CMSC 141,D-2L,1:00,4:00,PC LAB 8,111,23
W,Lab,CMSC 141,D-3L,1:00,4:00,PC LAB 9,111,20
W,Lab,CMSC 141,D-4L,4:00,7:00,PC LAB 2,111,24
TH,Lab,CMSC 141,D-5L,4:00,7:00,PC LAB 9,111,21
TH,Lab,CMSC 141,D-6L,4:00,7:00,PC LAB 8,111,21
F,Lab,CMSC 141,D-7L,1:00,4:00,PC LAB 2,111,9
M,Sect,CMSC 200,AR1,TBA,TBA,TBA,111,1
M,Sect,CMSC 200,AR2,TBA,TBA,TBA,111,2
M,Sect,CMSC 200,AR3,TBA,TBA,TBA,111,1
M,Sect,CMSC 200,AR4,TBA,TBA,TBA,111,2
M,Sect,CMSC 200,AR4,TBA,TBA,TBA,111,2
T,Sect,CMSC 215,Y,4:00,7:00,ICS LH 3,111,19
T,Sect,CMSC 227,WX,1:00,4:00,ICS GS Room,111,15
M,Lecture,CMSC 210,EF,2:00,4:00,ICS GS Room,111,13
M,Lab,CMSC 210,EF-1L,4:00,7:00,PC LAB 6,111,13
F,Lecture,CMSC 238,EF,2:00,4:00,ICS GS Room,111,12
F,Lab,CMSC 238,EF-1L,4:00,7:00,PC LAB 1,111,12
TBA,Sect,CMSC 400,AR1,TBA,TBA,TBA,111,0
TBA,Sect,CMSC 400,AR2,TBA,TBA,TBA,111,3
